Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
107069,2,3,345,817,81634,1,75982,41980,30.68,45.21
107070,3,3,240,741,106477,1,86733,45011,30.68,45.21
107072,4,3,285,789,83168,1,78306,39126,30.68,45.21
110088,0,3,220,718,95000,1,68925,41838,30.76,44.89
110089,1,3,308,804,93122,1,71588,38107,30.76,44.89
110091,2,3,335,813,82719,1,76008,42365,30.76,44.89
110092,3,3,244,745,106477,1,87855,44859,30.76,44.89
110094,4,3,283,787,84932,1,80129,39219,30.76,44.89
113112,0,3,224,722,95904,1,70078,41682,30.91,44.73
113113,1,3,293,796,94263,1,72294,38652,30.91,44.73
113115,2,3,322,809,81717,1,76188,42826,30.91,44.73
113116,3,3,226,725,107601,1,88064,45702,30.91,44.73
113118,4,3,254,756,83733,1,80319,40350,30.91,44.73
116134,0,2,215,712,97343,1,71588,42079,31.05,44.47
116135,1,3,303,802,94423,1,72172,38262,31.05,44.47
116137,2,3,330,811,83450,1,77200,42538,31.05,44.47
116138,3,2,215,711,108883,1,88243,46293,31.05,44.47
116140,4,3,268,771,83591,1,81856,39780,31.05,44.47
119158,0,2,188,678,99005,1,72711,43440,31.16,44.17
119159,1,3,285,789,95129,1,73503,38928,31.16,44.17
119161,2,3,301,801,83422,1,77226,43646,31.16,44.17
119162,3,2,210,705,109511,1,91095,46545,31.16,44.17
119164,4,3,247,749,87885,1,82943,40638,31.16,44.17
122180,0,2,212,708,97640,1,73354,42236,31.28,43.88
122181,1,3,278,781,95257,1,74581,39206,31.28,43.88
122183,2,3,321,808,84759,1,77830,42855,31.28,43.88
122184,3,2,202,696,111455,1,89385,46956,31.28,43.88
122186,4,3,225,724,87056,1,83591,41612,31.28,43.88
125204,0,2,183,671,98537,1,75265,43720,31.41,43.72
125205,1,3,267,770,95290,1,75725,39619,31.41,43.72
125207,2,3,289,793,85076,1,80782,44136,31.41,43.72
125208,3,2,197,690,110031,1,93027,47243,31.41,43.72
125210,4,3,238,738,87826,1,84245,41052,31.41,43.72
128226,0,2,191,681,99880,1,73131,43307,31.57,43.46
128227,1,3,281,784,95937,1,77148,39086,31.57,43.46
128229,2,3,310,805,85335,1,81386,43278,31.57,43.46
128230,3,2,200,693,113243,1,91559,47099,31.57,43.46
128232,4,3,243,744,90084,1,86323,40817,31.57,43.46
131250,0,2,197,690,99643,1,75931,42957,31.67,43.10
131251,1,3,262,764,96034,1,76965,39834,31.67,43.10
131253,2,3,297,800,85915,1,82356,43824,31.67,43.10
131254,3,2,181,669,112136,1,95613,48163,31.67,43.10
131256,4,3,229,728,88722,1,88392,41443,31.67,43.10
134272,0,2,205,700,102309,1,77383,42566,31.80,42.74
134273,1,3,249,750,97277,1,77672,40363,31.80,42.74
134275,2,3,301,802,85740,1,83960,43631,31.80,42.74
134276,3,2,182,670,114205,1,95193,48131,31.80,42.74
134278,4,2,212,708,89234,1,88064,42236,31.80,42.74
137296,0,2,164,647,103633,1,77698,44753,31.91,42.44
137297,1,3,259,762,99475,1,79777,39929,31.91,42.44
137299,2,3,288,791,87086,1,83790,44196,31.91,42.44
137300,3,2,182,670,115058,1,95937,48131,31.91,42.44
137302,4,2,217,714,90972,1,87381,41980,31.91,42.44
140318,0,2,164,647,103073,1,76369,44753,32.04,42.27
140319,1,3,252,754,99677,1,79185,40227,32.04,42.27
140321,2,3,260,762,87945,1,85595,45424,32.04,42.27
140322,3,2,166,649,115448,1,96588,49102,32.04,42.27
140324,4,2,210,705,93691,1,89234,42336,32.04,42.27
143342,0,2,190,680,103563,1,78731,43366,32.15,42.05
143343,1,3,265,767,98871,1,80700,39713,32.15,42.05
143345,2,3,285,788,90053,1,85133,44331,32.15,42.05
143346,3,2,161,642,113780,1,97442,49402,32.15,42.05
143348,4,2,215,712,90757,1,88902,42079,32.15,42.05
146364,0,2,168,652,103984,1,77777,44541,32.28,41.96
146365,1,3,222,720,99441,1,80618,41528,32.28,41.96
146367,2,3,272,775,89355,1,86410,44874,32.28,41.96
